cod_ibge;municipio;casos_dengue_2020;saneamento_basico;abastecimento_agua;esgotamento_sanitario;manejo_residuos;drenagem_urbana;pop_estimada;pib_municipio;desp_saude_percapta;dens_demografica;precipitacao_anual
3500105; ADAMANTINA;1055;Sim;Sim;Sim;Sim;Sim;35111;1243768;1495,64;84,27;110,30
3500204; ADOLFO;6;Sim;Sim;Sim;Não;Não;3554;136758;1537,93;20,06;0,00
3500303; AGUAI;1954;Sim;Sim;Sim;Sim;Sim;36648;1143458;883,86;68;0,00
3500402; AGUAS DA PRATA;25;Sim;Sim;Sim;Sim;Sim;8221;186999;920,09;52,13;0,00
3500501; AGUAS DE LINDOIA;4;Não;;;;;18808;492385;1290,04;298,71;0,00
3500550; AGUAS DE SANTA BARBARA;1;Sim;Sim;Sim;Não;Não;6109;200451;1252,49;17,2;98,13
3500600; AGUAS DE SAO PEDRO;26;Sim;Sim;Sim;Sim;Sim;3521;136433;2473,29;770,49;0,00
3500709; AGUDOS;23;Sim;Sim;Sim;Sim;Sim;37401;2308691;1514,88;38,66;83,05
3500758; ALAMBARI;0;Não;;;;;6129;121302;1054,28;37,32;0,00
3500808; ALFREDO MARCONDES;148;Não;;;;;4184;111138;1040,84;36,83;89,77
3500907; ALTAIR;0;Sim;Sim;Sim;Sim;Sim;4186;111753;2568,46;11,31;56,43
3501004; ALTINOPOLIS;23;Sim;Sim;Sim;Sim;Sim;16203;654362;1003,42;17,97;106,93
3501103; ALTO ALEGRE;31;Sim;Sim;Sim;Sim;Sim;4088;116734;2385,3;12,44;30,78
3501152; ALUMINIO;5;Sim;Sim;Sim;Não;Sim;18767;2287257;1026,99;207,49;0,00
3501202; ALVARES FLORENCE;53;Não;;;;;3647;112203;1322,67;10,88;0,00
3501301; ALVARES MACHADO;276;Não;;;;;24998;618885;794,84;77,06;0,00
3501400; ALVARO DE CARVALHO;14;Sim;Sim;Sim;Sim;Sim;5274;53435;922,67;31,32;80,92
3501509; ALVINLANDIA;23;Não;;;;;3237;57564;1275,14;34,57;20,14
3501608; AMERICANA;1138;Sim;Sim;Sim;Sim;Sim;242018;11956361;893,17;1746,77;104,32
3501707; AMERICO BRASILIENSE;22;Não;;;;;41032;1081155;1037,87;272,87;0,00
3501806; AMERICO DE CAMPOS;258;Sim;Sim;Sim;Sim;Não;5981;109058;1071,68;23,32;74,49
3501905; AMPARO;76;Sim;Sim;Sim;Sim;Sim;72677;4591225;1571,19;152,77;86,59
3502002; ANALANDIA;19;Sim;Não;Sim;Sim;Sim;5056;198923;1292,74;14;120,53
3502101; ANDRADINA;1184;Não;;;;;57202;2632786;818,36;61,64;10,50
3502200; ANGATUBA;2;Sim;Sim;Sim;Sim;Sim;25479;1319743;1026,86;23,18;93,14
3502309; ANHEMBI;4;Sim;Sim;Sim;Sim;Sim;6819;155830;1788,11;7,73;100,58
3502408; ANHUMAS;4;Não;;;;;4144;82843;1239,85;12,43;0,00
3502507; APARECIDA;622;Sim;;;;;36185;974272;693,64;275,59;42,14
3502606; APARECIDA D'OESTE;21;Sim;;;;;4158;155265;1556,18;23,36;0,00
3502705; APIAI;1;Sim;Sim;Sim;Não;Não;24226;715303;945,71;25,58;0,00
3502754; ARACARIGUAMA;1;Sim;Sim;Sim;Sim;Sim;22860;3333379;1462,67;143,24;0,00
3502804; ARACATUBA;2506;Sim;Sim;Sim;Sim;Sim;198129;8207617;829,03;169,99;86,78
3502903; ARACOIABA DA SERRA;10;Não;;;;;34776;1021043;784,99;124,24;0,00
3503000; ARAMINA;9;Não;;;;;5655;155750;1316,05;26,72;0,00
3503109; ARANDU;0;Sim;Sim;Sim;Sim;Sim;6365;182397;1279,31;23,69;0,00
3503158; ARAPEI;4;Não;;;;;2460;39782;1907,32;15,16;0,00
3503208; ARARAQUARA;246;Sim;Sim;Sim;Sim;Sim;238339;10653869;1511,84;236,76;115,08
3503307; ARARAS;891;Sim;Não;Não;Sim;Não;135506;6418948;939,22;200,67;107,85
3503356; ARCO-IRIS;39;Não;;;;;1773;84018;2161,59;7,66;0,00
3503406; AREALVA;7;Não;;;;;8613;244561;1053,26;16,01;93,38
3503505; AREIAS;18;Não;;;;;3896;56514;1365,57;11,83;0,00
3503604; AREIOPOLIS;1;Sim;;;;;11158;146373;853,23;119,66;0,00
3503703; ARIRANHA;287;;;;;;9761;1007824;1400,44;58,74;0,00
3503802; ARTUR NOGUEIRA;93;Não;;;;;55340;1483276;746,58;282,92;87,64
3503901; ARUJA;48;Não;;;;;91157;7774011;1036,71;883,92;121,89
3503950; ASPASIA;11;Não;;;;;1818;40104;2026,19;26,61;0,00
3504008; ASSIS;1043;Sim;Sim;Sim;;;105087;3776892;1041,67;219,45;93,26
3504107; ATIBAIA;189;Sim;Sim;Sim;Não;Não;144088;7374355;940,34;321,75;92,56
3504206; AURIFLAMA;159;;;;;;15253;326165;1023,99;31,97;59,14
3504305; AVAI;5;Não;;;;;5436;394601;1272,12;8,46;98,69
3504404; AVANHANDAVA;47;;;;;;13859;458955;869,57;33,55;0,00
3504503; AVARE;16;Não;;;;;91232;2798702;1123,33;75,6;114,86
3504602; BADY BASSITT;26;Sim;Sim;Sim;Sim;Sim;17761;464718;877;227,18;93,11
3504701; BALBINOS;0;Não;;;;;5934;61939;1536,84;41,77;0,00
3504800; BALSAMO;11;Não;;;;;9139;246920;951,27;62,82;89,14
3504909; BANANAL;3;Não;;;;;10993;203995;824,67;16,31;0,00
3505005; BARAO DE ANTONINA;10;Sim;Sim;Sim;Sim;Sim;3498;68935;1364,76;22,59;0,00
3505104; BARBOSA;21;Sim;Sim;Sim;Sim;Sim;7468;119482;1312,73;28,48;73,40
3505203; BARIRI;96;Sim;Sim;Sim;Sim;Sim;35558;1362188;1003,8;71,53;0,00
3505302; BARRA BONITA;14;Sim;Sim;Sim;Sim;Sim;36126;1359750;965,48;231,19;0,00
3505351; BARRA DO CHAPEU;0;;;;;;5760;143890;1393,6;12,85;0,00
3505401; BARRA DO TURVO;142;Sim;Sim;Sim;Sim;Sim;7632;109151;1375,78;7,02;103,25
3505500; BARRETOS;55;Sim;Sim;Sim;Sim;Sim;122833;5013749;1688,09;77,45;130,28
3505609; BARRINHA;114;Sim;;;;;33180;553900;759,19;217;101,31
3505708; BARUERI;53;Sim;Sim;Sim;Sim;Sim;276982;51600338;2856,1;4650,58;0,00
3505807; BASTOS;750;Não;;;;;20953;978212;1319,47;125,63;64,19
3505906; BATATAIS;32;Sim;;;;;62980;2077090;1209,2;68,68;72,53
3506003; BAURU;843;Sim;Sim;Sim;Sim;Sim;379297;15129058;712,59;561,91;0,00
3506102; BEBEDOURO;328;Sim;Sim;Sim;Sim;Sim;77555;3269355;1062,54;112,29;0,00
3506201; BENTO DE ABREU;42;Sim;;;;;3005;207555;2042,64;8,76;0,00
3506300; BERNARDINO DE CAMPOS;10;Sim;Sim;Sim;Sim;Sim;11158;301537;1231,7;47,3;0,00
3506359; BERTIOGA;57;Sim;;;;;64723;1902031;1671,31;125,28;0,00
3506409; BILAC;50;Sim;;;;;8117;268530;1331,88;46,56;83,01
3506508; BIRIGUI;631;Não;;;;;124883;3671918;997,85;222,85;84,00
3506607; BIRITIBA-MIRIM;0;Sim;Sim;Sim;Não;Não;32936;996878;729,6;93,55;0,00
3506706; BOA ESPERANCA DO SUL;50;;;;;;15018;361999;1010,85;19;0,00
3506805; BOCAINA;40;Sim;;;;;12452;236483;963,34;31;0,00
3506904; BOFETE;0;Sim;Sim;Sim;Sim;Sim;11921;210809;1143,4;15,89;89,97
3507001; BOITUVA;76;Não;;;;;62170;2971680;882,64;237,58;0,00
3507100; BOM JESUS DOS PERDOES;2;Não;;;;;25985;1129289;970,55;200,18;0,00
3507159; BOM SUCESSO DE ITARARE;0;;;;;;3984;65836;1431,2;26,63;0,00
3507209; BORA;3;Não;;;;;838;68107;4468,75;7,62;0,00
3507308; BORACEIA;3;;;;;;4868;441392;1619,61;38,07;0,00
3507407; BORBOREMA;136;Sim;Sim;Sim;Sim;Sim;16164;470940;1209,29;26,03;70,43
3507456; BOREBI;2;Sim;;;;;2683;68863;1869,95;7,64;0,00
3507506; BOTUCATU;44;Sim;Sim;Sim;Sim;Sim;148130;5073778;766,45;96,28;0,00
3507605; BRAGANCA PAULISTA;194;Não;;;;;170533;6831380;947,11;336,41;0,00
3507704; BRAUNA;39;Sim;Sim;Sim;Sim;Sim;5741;116873;1344,35;27,33;70,14
3507753; BREJO ALEGRE;29;Não;;;;;2889;60616;1828,22;24,46;67,78
3507803; BRODOWSKI;63;;;;;;25277;811581;957,13;88,4;197,01
3507902; BROTAS;258;Sim;Sim;Sim;Sim;Sim;24636;986668;1200,04;21,45;0,00
3508009; BURI;1;Sim;;;;;19965;674027;929,67;16,82;0,00
3508108; BURITAMA;526;Sim;Sim;Sim;Sim;Não;17281;709786;1373,67;52,14;0,00
3508207; BURITIZAL;0;;;;;;4514;229391;1358,23;16,26;0,00
3508306; CABRALIA PAULISTA;1;Sim;Sim;Sim;Sim;Sim;4243;81956;1086,37;18,18;41,67
3508405; CABREUVA;41;Sim;Sim;Sim;Sim;Sim;50429;5400646;1277,66;177,62;0,00
3508504; CACAPAVA;116;Não;;;;;95018;4514762;974,69;257,22;0,00
3508603; CACHOEIRA PAULISTA;504;Sim;Sim;Sim;Sim;Sim;33581;636338;797,3;109,48;0,00
3508702; CACONDE;21;Sim;Sim;Sim;Sim;Sim;19009;476090;1114,85;37,28;79,88
3508801; CAFELANDIA;53;Sim;Sim;Sim;Sim;Sim;17843;606624;1154,66;18,23;0,00
3508900; CAIABU;15;;;;;;4193;68004;1256,93;14,98;114,49
3509007; CAIEIRAS;6;Sim;;;;;102775;4063841;801,55;964,43;0,00
3509106; CAIUA;169;Sim;;;;;5946;88861;1471,04;9,81;78,23
3509205; CAJAMAR;27;Não;;;;;77934;21270946;1554,19;670,15;0,00
3509254; CAJATI;1180;Sim;;;;;28494;1559837;1257,33;63,14;91,36
3509304; CAJOBI;37;Sim;Sim;Sim;Sim;Sim;10596;171317;1182,34;52,5;84,78
3509403; CAJURU;68;Sim;Sim;Sim;Sim;Sim;26393;692359;1209,93;36,2;151,53
3509452; CAMPINA DO MONTE ALEGRE;3;Não;;;;;6057;136453;842,45;32,14;0,00
3509502; CAMPINAS;4181;Sim;Sim;Sim;Sim;Sim;1213792;65158382;1335,42;1430,77;0,00
3509601; CAMPO LIMPO PAULISTA;3;Não;;;;;85541;2219744;865,55;977,97;0,00
3509700; CAMPOS DO JORDAO;4;Sim;Sim;Sim;Sim;Sim;52405;1261470;1099,42;163,38;0,00
3509809; CAMPOS NOVOS PAULISTA;51;;;;;;4997;190056;1237,14;10,02;0,00
3509908; CANANEIA;55;Não;;;;;12541;262058;1437,51;9,98;0,00
3509957; CANAS;113;Não;;;;;5204;114442;938,41;91,21;0,00
3510005; CANDIDO MOTA;287;Sim;Sim;Sim;Sim;Sim;31346;1405948;799,72;49,98;0,00
3510104; CANDIDO RODRIGUES;20;Sim;Sim;Sim;Sim;Não;2799;111481;1468,55;40,31;92,79
3510153; CANITAR;38;;;;;;5292;146230;750,14;103,71;88,18
3510203; CAPAO BONITO;1;Sim;Sim;Sim;Sim;Sim;47118;1129593;969,18;28,44;0,00
3510302; CAPELA DO ALTO;16;Sim;Sim;Sim;Sim;Sim;20985;339916;792,75;129,64;0,00
3510401; CAPIVARI;20;Sim;Sim;Sim;Sim;Sim;56379;2486361;958,26;155,09;0,00
3510500; CARAGUATATUBA;612;Sim;;;Sim;;123389;3870521;1674,09;267,36;0,00
3510609; CARAPICUIBA;2;Sim;Sim;Sim;Sim;Sim;403183;6241379;431,73;11216,84;0,00
3510708; CARDOSO;168;Sim;Sim;Sim;Não;Não;12349;299517;1154,28;18,09;41,34
3510807; CASA BRANCA;688;Sim;Sim;Sim;Sim;Sim;30520;1060935;882,26;32,76;85,93
3510906; CASSIA DOS COQUEIROS;12;Sim;Sim;Sim;Sim;Sim;2505;254686;1747,27;14,6;119,52
3511003; CASTILHO;449;Sim;Sim;Sim;Não;Não;21267;1160988;1628,73;18,62;0,00
3511102; CATANDUVA;7746;Sim;Sim;Sim;Sim;Sim;122497;4867594;841,02;399,25;0,00
3511201; CATIGUA;18;Sim;Sim;Sim;Sim;Sim;7855;134508;926,47;47,68;83,36
3511300; CEDRAL;37;Não;;;;;9346;393438;911,57;59,74;98,93
3511409; CERQUEIRA CESAR;4;Não;;;;;20191;827673;922,42;40,93;0,00
3511508; CERQUILHO;32;Sim;Sim;Sim;Sim;Sim;49802;1973323;992,63;344,96;0,00
3511607; CESARIO LANGE;2;Sim;Sim;Sim;Sim;Sim;18375;524250;901,35;97,42;0,00
3511706; CHARQUEADA;78;Não;;;;;17367;431578;766,88;88,33;94,73
3511904; CLEMENTINA;124;Não;;;;;8757;239833;972,51;41,81;0,00
3512001; COLINA;11;Não;;;;;18535;138237;1335,73;43,49;0,00
3512100; COLOMBIA;9;Sim;;;;;6216;1238366;2228,52;9,06;83,89
3512209; CONCHAL;1742;Não;;;;;28273;376083;893,21;151,93;0,00
3512308; CONCHAS;5;Sim;Sim;Sim;Sim;Não;18019;856783;969,58;33,27;67,14
3512407; CORDEIROPOLIS;515;Sim;Sim;Sim;Sim;Sim;24826;384550;1662,75;174,89;0,00
3512506; COROADOS;10;Sim;Sim;Sim;Sim;Sim;6129;3419941;1227,98;21,99;60,90
3512605; CORONEL MACEDO;1;Sim;Sim;Sim;Não;Não;4635;199836;1393,98;14,7;0,00
3512704; CORUMBATAI;4;Sim;Sim;Sim;Sim;Sim;4064;127041;1730,54;14,96;108,30
3512803; COSMOPOLIS;88;Sim;Sim;Sim;Sim;Sim;73474;272105;778,89;387,49;0,00
3512902; COSMORAMA;58;Sim;Sim;Sim;Sim;Sim;7298;1960248;931,85;19,22;72,30
3513009; COTIA;37;Sim;Sim;Sim;Sim;Sim;253608;401036;649,02;812,04;104,32
3513108; CRAVINHOS;163;Não;;;;;35579;14096442;882,12;106,74;0,00
3513207; CRISTAIS PAULISTA;0;Sim;Sim;Sim;Sim;Sim;8718;1422344;791,45;23,43;0,00
3513306; CRUZALIA;80;Não;;;;;2046;280066;2043,28;14,42;0,00
3513405; CRUZEIRO;4176;Não;;;;;82571;137530;789,28;248,15;0,00
3513504; CUBATAO;782;Não;;;;;131626;2736019;1933,8;801,26;0,00
3513603; CUNHA;11;;;;;;21459;16070333;763,14;15,78;0,00
3513702; DESCALVADO;34;Sim;Sim;Sim;Sim;Sim;33910;296896;1177,94;42,25;126,12
3513801; DIADEMA;18;Sim;;;;;426757;1856375;1096,82;12874,3;0,00
3513850; DIRCE REIS;33;Sim;;;;;1799;14977055;1996,72;18,52;0,00
3513900; DIVINOLANDIA;5;Não;;;;;11086;65160;840,87;50,35;0,00
3514007; DOBRADA;17;Sim;Sim;Sim;Sim;Sim;9010;340494;877,15;57,85;0,00
3514106; DOIS CORREGOS;103;Não;;;;;27512;131224;969,85;39,09;17,98
3514205; DOLCINOPOLIS;31;Sim;;;;;2112;758433;1644,56;28,1;62,54
3514304; DOURADO;2;Sim;;;;;8878;51745;1323,36;40,09;0,00
3514403; DRACENA;2635;Não;;;;;47043;648986;1011,96;93,21;97,11
3514502; DUARTINA;43;Não;;;;;12433;1359699;1203,62;46,74;0,00
3514601; DUMONT;143;;;;;;10023;257237;770,9;82,89;0,00
3514700; ECHAPORA;20;Sim;;;;;6064;283316;1098,92;12,17;123,83
3514809; ELDORADO;100;Sim;Sim;Sim;Sim;Sim;15544;135389;973,59;8,13;0,00
3514908; ELIAS FAUSTO;1;Sim;Sim;Sim;Sim;Sim;17936;323539;1111,37;86,32;0,00
3514924; ELISIARIO;35;Sim;Sim;Sim;Sim;Sim;3697;882746;1252,31;33,61;0,00
3514957; EMBAUBA;20;Sim;Sim;Sim;Sim;Sim;2449;67640;2156,68;28,45;0,00
3515004; EMBU DAS ARTES;0;Sim;Sim;Sim;Sim;Sim;276535;60211;852,16;3566,55;0,00
3515103; EMBU-GUACU;3;Sim;Sim;Sim;;;69901;14019716;590,39;429,52;0,00
3515129; EMILIANOPOLIS;14;Sim;Sim;Sim;Sim;Sim;3227;1234334;1606,95;13,57;83,31
3515152; ENGENHEIRO COELHO;113;Sim;Sim;Sim;Sim;Sim;21249;70434;1054,37;172,14;0,00
3515186; ESPIRITO SANTO DO PINHAL;93;Sim;Sim;Sim;Não;Não;44471;558099;1063,69;103,73;0,00
3515194; ESPIRITO SANTO DO TURVO;1;Sim;Sim;Sim;Sim;Sim;4878;1673589;1423,54;21,61;0,00
3515202; ESTRELA D'OESTE;746;Sim;;;;;8419;69538;1288,33;31,16;0,00
3515301; ESTRELA DO NORTE;58;Não;;;;;2770;347562;1476,7;10,3;0,00
3515350; EUCLIDES DA CUNHA PAULISTA;189;;;;;;9325;654237;1050,63;14,42;100,50
3515400; FARTURA;6;Não;;;;;16070;131815;1043,44;38,47;0,00
3515509; FERNANDOPOLIS;1042;Sim;Sim;Sim;Sim;Sim;69402;225392;823,34;128,21;71,93
3515608; FERNANDO PRESTES;12;Não;;;;;5794;429785;1493,5;34,6;0,00
3515657; FERNAO;34;Sim;Sim;Sim;;;1727;2296687;2608,24;16,36;0,00
3515707; FERRAZ DE VASCONCELOS;0;Sim;Sim;Sim;Não;Não;196500;80517;367,33;6037,33;0,00
3515806; FLORA RICA;35;;;;;;1430;3958785;1927,83;6,89;89,65
3515905; FLOREAL;19;Não;;;;;2900;39603;1788,31;13,75;0,00
3516002; FLORIDA PAULISTA;193;Não;;;;;14790;69305;885,2;24,84;71,08
3516101; FLORINIA;2;Sim;Sim;Sim;Sim;Sim;2653;246970;1555,5;16,47;0,00
3516200; FRANCA;48;Sim;Sim;Sim;Sim;Sim;355901;166104;668,47;576,19;112,56
3516309; FRANCISCO MORATO;30;Não;;;;;177633;9847127;488,83;3350,56;0,00
3516408; FRANCO DA ROCHA;11;Sim;Sim;Sim;Sim;Sim;156492;1721266;943,14;1078,55;0,00
3516507; GABRIEL MONTEIRO;49;Não;;;;;2776;3637702;2092,18;20,13;0,00
3516606; GALIA;6;Sim;;;;;6482;78548;1251,64;18,42;0,00
3516705; GARCA;750;Não;;;;;44409;186013;988,76;76,6;100,88
3516804; GASTAO VIDIGAL;128;Sim;Sim;Sim;Sim;Sim;4860;1329830;1373,49;19,07;0,00
3516853; GAVIAO PEIXOTO;9;Não;;;;;4815;86381;2772,58;19,21;0,00
3516903; GENERAL SALGADO;324;Não;;;;;10862;1596122;1117,2;21,15;0,00
3517000; GETULINA;23;Não;;;;;11447;241390;837,15;15,36;99,59
3517109; GLICERIO;18;Sim;Sim;Sim;Não;Não;4829;216107;1440,32;15,58;0,00
3517208; GUAICARA;33;Sim;Sim;Sim;Sim;Sim;12294;116604;738,5;40,4;24,17
3517307; GUAIMBE;205;Não;;;;;5785;221290;1177,5;25,48;40,28
3517406; GUAIRA;105;Sim;Sim;Sim;Sim;Sim;41040;232059;1092,6;31,13;0,00
3517505; GUAPIACU;112;Não;;;;;21775;2442874;978,29;64,95;93,54
3517604; GUAPIARA;1;Não;;;;;17025;723072;1220,94;42,71;0,00
3517703; GUARA;3;Sim;Sim;Sim;Sim;Sim;21308;511220;848,42;52,37;76,56
3517802; GUARACAI;61;Sim;Sim;Sim;Sim;Sim;8290;571751;1394,14;13,52;76,02
3517901; GUARACI;7;Não;;;;;11287;321905;1436,71;16,16;0,00
3518008; GUARANI D'OESTE;102;Sim;Não;Não;Sim;Sim;1998;395880;2297,4;23,01;11,66
3518107; GUARANTA;35;Sim;Sim;Sim;Sim;Sim;6675;40183;1221,57;13,99;107,48
3518206; GUARARAPES;1424;Não;;;;;33100;186939;1036,81;32,65;109,63
3518305; GUARAREMA;68;Não;;;;;30136;1095612;1717,05;112,53;0,00
3518404; GUARATINGUETA;3330;Sim;Sim;Sim;Sim;Sim;122505;1533253;1130,43;156,17;0,00
3518503; GUAREI;6;Não;;;;;18887;6622399;929,02;26,46;84,59
3518602; GUARIBA;39;Sim;Sim;Sim;Sim;Sim;40487;268280;876,45;138,54;88,80
3518701; GUARUJA;387;Sim;Sim;Sim;Sim;Sim;322750;1012671;1497,39;2006,66;212,00
3518800; GUARULHOS;220;Não;;;;;1392121;9188156;859,57;4044,85;0,00
3518859; GUATAPARA;14;Não;;;;;7709;65949963;1340,54;17,69;0,00
3518909; GUZOLANDIA;10;Sim;Sim;Sim;Sim;Sim;5307;253740;1278,29;17,33;72,51
